SANB4,2014-05-28,1:1
BBDC3,2018-04-02,11:10
ITSA4,2013-05-02,11:10
BBDC3,2010-07-14,1:1
EZTC3,2015-05-04,107:100
TOTS3,2020-05-04,3:1
CMIG4,2013-12-27,130:100
MGLU3,2020-10-14,4:1
CMIG4,2010-04-30,1:1
PRIO3,2019-03-06,10:1
EQTL3,2019-11-28,5:1
BBDC4,2015-03-27,12:10
RADL3,2010-12-20,3:1
BBDC3,2021-04-19,11:10
ITSA4,2015-05-05,11:10
ITSA4,2012-04-27,11:10
LREN3,2017-05-04,11:10
MGLU3,2015-10-01,1:8
LAME4,2016-03-31,6:5
YDUQ3,2013-05-22,3:1
HGTX3,2010-11-01,3:1
LAME4,2011-05-04,53:52
CSAN3,2021-05-06,4:1
RADL3,2020-09-21,5:1
BBDC4,2021-04-19,11:10
PRIO3,2012-05-29,50:1
WEGE3,2021-04-28,2:1
VULC3,2011-01-06,4:1
LAME4,2012-05-03,4:3
ITUB4,2016-10-18,11:10
EZTC3,2016-05-02,105:100
BRML3,2017-05-02,115:100
BBDC3,2013-03-26,11:10
CPFE3,2016-05-02,1:1
CIEL3,2013-04-29,6:5
ITSA4,2016-05-02,11:10
ITUB4,2015-07-14,11:10
BBDC4,2019-04-01,12:10
CIEL3,2011-05-30,1:3
CPLE6,2021-03-12,10:1
ENBR3,2012-04-11,3:1
CMIG4,2013-05-02,112:100
COGN3,2013-03-06,2:1
ABEV3,2013-11-12,5:1
BBDC4,2016-04-18,11:10
KLBN11,2014-03-25,5:1
BBDC4,2020-04-14,11:10
BBDC3,2020-04-14,11:10
BBDC4,2018-04-02,11:10
CSNA3,2010-03-26,2:1
ITSA4,2018-06-01,11:10
VVAR3,2013-11-25,4:1
TRPL4,2019-04-05,4:1
BBDC3,2019-04-01,12:10
MGLU3,2017-09-05,8:1
BBDC4,2017-05-02,11:10
RENT3,2019-12-23,21:20
ITUB4,2018-11-21,3:2
CIEL3,2012-04-23,6:5
WEGE3,2018-04-25,13:10
CIEL3,2015-04-13,6:5
TUPY3,2013-02-13,2:1
BPAC11,2021-07-01,4:1
CCRO3,2011-11-28,4:1
ENEV3,2021-03-12,4:1
LAME4,2014-05-02,5:4
ENEV3,2016-05-12,1:100
LWSA3,2021-02-01,4:1
ITUB4,2014-06-06,11:10
BBDC3,2017-05-02,11:10
BRFS3,2010-04-01,2:1
EQTL3,2019-11-19,5:1
USIM5,2010-09-28,2:1
EGIE3,2018-12-12,5:4
PRIO3,2016-06-13,1:5
SUZB3,2010-05-03,1:1
TUPY3,2010-07-20,1:1000
LCAM3,2019-10-18,3:1
CMIG4,2020-08-03,104:100
RENT3,2013-05-02,21:20
FLRY3,2017-06-27,2:1
CIEL3,2016-04-11,6:5
HYPE3,2010-01-04,2:1
ABEV3,2010-12-20,5:1
TOTS3,2011-03-22,5:1
ITSA4,2014-05-05,11:10
CSAN3,2021-05-03,4:1
COGN3,2012-12-05,1:7
CPFE3,2015-04-30,1:1
EZTC3,2019-04-29,121:100
RENT3,2017-05-03,21:20
BIDI11,2021-05-26,3:1
B3SA3,2021-05-17,3:1
RAIL3,2015-08-03,1:10
PRIO3,2021-05-06,5:1
CIEL3,2011-05-02,6:5
BBDC3,2015-03-27,12:10
CIEL3,2017-04-13,6:5
MULT3,2018-07-23,3:1
BBDC4,2013-03-26,11:10
UGPA3,2019-04-18,2:1
PRIO3,2014-08-04,1:10
LREN3,2015-09-24,5:1
CPFE3,2011-06-29,2:1
RENT3,2017-11-23,3:1
SANB4,2014-06-02,1:55
VULC3,2016-03-17,1:4
SAPR4,2020-03-30,3:1
CIEL3,2014-04-01,2:1
BBDC3,2010-01-20,11:10
CMIG4,2012-04-30,125:100
BRML3,2016-05-02,130:100
COGN3,2014-09-12,4:1
HAPV3,2020-11-25,5:1
UGPA3,2011-02-17,4:1
LREN3,2019-05-02,11:10
BRML3,2010-09-24,2:1
SULA4,2021-03-30,1060:1000
WEGE3,2015-04-01,2:1
BBDC3,2016-04-18,11:10
IGTA3,2012-10-18,2:1
LCAM3,2019-10-07,3:1
WEGE3,2014-04-24,13:10
IRBR3,2019-09-26,3:1
CMIG4,2021-05-03,111:100
MGLU3,2019-08-06,8:1
SULA4,2020-11-27,1018:1000
B3SA3,2021-05-06,3:1
ITUB4,2013-05-21,11:10
ENEV3,2012-08-16,3:1
SBSP3,2013-04-23,3:1
